Artist_Name,artist_id
Shawn Mendes,1
Anuel AA,2
Ariana Grande,3
Ed Sheeran,4
Post Malone,5
Lil Tecca,6
Sam Smith,7
Lil Nas X,8
Billie Eilish,9
Bad Bunny,10
DJ Snake,11
Lewis Capaldi,12
Sech,13
Drake,14
Chris Brown,15
J Balvin,16
Y2K,17
Lizzo,18
MEDUZA,19
Jhay Cortez,20
Lunay,21
Tones and I,22
Ali Gatie,23
Daddy Yankee,24
The Chainsmokers,25
Maluma,26
Young Thug,27
Katy Perry,28
Martin Garrix,29
Jonas Brothers,30
Lauv,31
Kygo,32
Taylor Swift,33
Lady Gaga,34
Khalid,35
ROSALÍA,36
Marshmello,37
Nicky Jam,38
