Track_Name,Genre,Length,Acousticness,Beats_Per_Minute,Danceability,Loudness_dB,Energy,Liveness,Speechiness,artist_id,song_id
Señorita,canadian pop,191,4,117,76,-6,55,8,3,1,1
China,reggaeton flow,302,8,105,79,-4,81,8,9,2,2
boyfriend (with Social House),dance pop,186,12,190,40,-4,80,16,46,3,3
Beautiful People (feat. Khalid),pop,198,12,93,64,-8,65,8,19,4,4
Goodbyes (Feat. Young Thug),dfw rap,175,45,150,58,-4,65,11,7,5,5
I Don't Care (with Justin Bieber),pop,220,9,102,80,-5,68,9,4,4,6
Ransom,trap music,131,2,180,75,-6,64,7,29,6,7
How Do You Sleep?,pop,202,15,111,48,-5,68,8,9,7,8
Old Town Road - Remix,country rap,157,5,136,88,-6,62,11,10,8,9
bad guy,electropop,194,33,135,70,-11,43,10,38,9,10
Callaita,reggaeton,251,60,176,61,-5,62,24,31,10,11
Loco Contigo (feat. J. Balvin & Tyga),dance pop,185,28,96,82,-4,71,15,7,11,12
Someone You Loved,pop,182,75,110,50,-6,41,11,3,12,13
Otro Trago - Remix,panamanian pop,288,7,176,73,-2,79,6,20,13,14
Money In The Grave (Drake ft. Rick Ross),canadian hip hop,205,10,101,83,-4,50,12,5,14,15
No Guidance (feat. Drake),dance pop,261,12,93,70,-7,45,16,15,15,16
LA CANCIÓN,latin,243,15,176,75,-6,65,11,32,16,17
Sunflower - Spider-Man: Into the Spider-Verse,dfw rap,158,56,90,76,-6,48,7,5,5,18
Lalala,canadian hip hop,161,18,130,84,-8,39,14,8,17,19
Truth Hurts,escape room,173,11,158,72,-3,62,12,11,18,20
Piece Of Your Heart,pop house,153,4,124,68,-7,74,7,3,19,21
Panini,country rap,115,34,154,70,-6,59,12,8,8,22
No Me Conoce - Remix,reggaeton flow,309,14,92,81,-4,79,9,7,20,23
Soltera - Remix,latin,266,36,92,80,-4,78,44,4,21,24
bad guy (with Justin Bieber),electropop,195,25,135,67,-11,45,12,30,9,25
If I Can't Have You,canadian pop,191,49,124,69,-4,82,13,6,1,26
Dance Monkey,australian pop,210,69,98,82,-6,59,18,10,22,27
It's You,canadian hip hop,213,37,96,73,-7,46,19,3,23,28
Con Calma,latin,193,11,94,74,-3,86,6,6,24,29
QUE PRETENDES,latin,222,3,93,64,-4,79,36,25,16,30
Takeaway,edm,210,12,85,29,-8,51,10,4,25,31
7 rings,dance pop,179,59,140,78,-11,32,9,33,3,32
Unknown,reggaeton,176,22,96,78,-5,71,9,28,26,33
The London (feat. J. Cole & Travis Scott),atl hip hop,200,2,98,80,-7,59,13,15,27,34
Never Really Over,dance pop,224,19,100,77,-5,88,32,6,28,35
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),big room,164,18,114,66,-7,72,14,6,29,36
Otro Trago,panamanian pop,226,14,176,75,-5,70,11,34,13,37
Antisocial (with Travis Scott),pop,162,13,152,72,-5,82,36,5,4,38
Sucker,boy band,181,4,138,84,-5,73,11,6,30,39
"fuck, i'm lonely (with Anne-Marie) - from 13 Reasons Why: Season 3",dance pop,199,48,95,81,-6,56,6,7,31,40
Higher Love,edm,228,2,104,69,-7,68,10,3,32,41
You Need To Calm Down,dance pop,171,1,85,77,-6,68,7,5,33,42
Shallow,dance pop,216,37,96,57,-6,39,23,3,34,43
Talk,pop,198,5,136,90,-9,40,6,13,35,44
Con Altura,r&b en espanol,162,39,98,88,-4,69,5,12,36,45
One Thing Right,brostep,182,7,88,66,-2,62,58,5,37,46
Te Robaré,latin,202,24,176,67,-4,75,8,6,38,47
Happier,brostep,214,19,100,69,-3,79,17,5,37,48
Call You Mine,edm,218,23,104,59,-6,70,41,3,25,49
Cross Me (feat. Chance the Rapper & PnB Rock),pop,206,21,95,75,-6,79,7,12,4,50
