artist_id,artist_name
1,Ali Gatie
2,Anuel AA
3,Ariana Grande
4,Bad Bunny
5,Billie Eilish
6,Chris Brown
7,DJ Snake
8,Daddy Yankee
9,Drake
10,Ed Sheeran
11,J Balvin
12,Jhay Cortez
13,Jonas Brothers
14,Katy Perry
15,Khalid
16,Kygo
17,Lady Gaga
18,Lauv
19,Lewis Capaldi
20,Lil Nas X
21,Lil Tecca
22,Lizzo
23,Lunay
24,MEDUZA
25,Maluma
26,Marshmello
27,Martin Garrix
28,Nicky Jam
29,Post Malone
30,ROSALIA
31,Sam Smith
32,Sech
33,Shawn Mendes
34,Taylor Swift
35,The Chainsmokers
36,Tones and I
37,Y2K
38,Young Thug
