artist_id,artist_name
1,Ali Gatie
2,Anuel AA
3,Ariana Grande
4,Ariana Grande
5,Bad Bunny
6,Billie Eilish
7,Billie Eilish
8,Chris Brown
9,DJ Snake
10,Daddy Yankee
11,Drake
12,Ed Sheeran
13,Ed Sheeran
14,Ed Sheeran
15,Ed Sheeran
16,J Balvin
17,J Balvin
18,Jhay Cortez
19,Jonas Brothers
20,Katy Perry
21,Khalid
22,Kygo
23,Lady Gaga
24,Lauv
25,Lewis Capaldi
26,Lil Nas X
27,Lil Nas X
28,Lil Tecca
29,Lizzo
30,Lunay
31,MEDUZA
32,Maluma
33,Marshmello
34,Marshmello
35,Martin Garrix
36,Nicky Jam
37,Post Malone
38,Post Malone
